bt,ownerNo,modelYear,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City,price_in_lakhs
7,1,2022,4,0,7100,0,2022,14,6,0,20.83
2,1,2010,4,4,43679,1,2010,19,5,0,2.71
7,1,2018,4,4,40000,0,2018,14,6,0,12.8
2,1,2012,1,0,40562,1,2012,22,6,0,4.36
7,2,2021,4,4,26500,0,2021,19,7,0,16.75
7,1,2019,4,4,20000,0,2019,18,7,0,12.5
7,1,2016,1,4,58600,0,2016,16,6,0,13.5
7,1,2019,4,0,20000,0,2019,18,7,0,12.5
7,1,2020,4,3,42050,0,2020,18,7,0,22.25
2,1,2015,4,4,65017,0,2015,23,5,0,4.75
8,2,2008,1,4,80000,0,2008,13,6,0,6.0
7,1,2021,4,4,30000,0,2021,14,7,0,24.5
7,1,2020,4,4,20000,0,2020,16,7,0,16.25
8,1,2014,1,4,36349,0,2014,17,6,0,16.5
2,3,2009,4,4,80000,1,2009,20,5,0,2.49
7,2,2014,4,4,83394,1,2014,13,5,0,6.3
7,2,2016,1,4,30000,0,2016,14,7,0,25.99
2,3,2009,4,4,80000,1,2009,20,5,0,2.49
2,1,2017,4,0,52204,1,2017,24,5,0,3.85
2,3,2012,4,4,110000,1,2012,17,5,0,3.0
7,1,2017,1,0,89000,0,2017,10,6,0,29.75
2,2,2014,4,0,29813,1,2014,22,5,0,2.76
2,1,2018,4,0,30000,1,2018,18,5,0,5.0
2,1,2020,4,0,13345,0,2020,20,5,0,7.3
7,1,2022,1,0,17100,0,2022,18,6,0,22.45
2,1,2014,4,0,75000,1,2014,18,5,0,3.99
2,2,2011,4,0,75523,1,2011,20,5,0,3.12
7,1,2015,1,4,47000,1,2015,16,6,0,12.75
7,1,2022,1,4,36500,1,2022,16,6,0,19.9
4,1,2020,4,4,28253,1,2020,20,5,0,7.19
7,1,2016,1,0,50000,1,2016,19,6,0,12.6
2,2,2010,4,4,90000,1,2010,20,5,0,3.0
7,2,2016,1,0,70000,0,2016,15,8,0,39.81
2,1,2016,4,0,52571,1,2016,18,5,0,6.27
8,2,2010,1,4,70000,0,2010,16,6,0,13.0
8,1,2015,4,0,61993,1,2015,17,5,0,6.72
7,1,2017,1,4,57000,0,2017,16,6,0,18.25
7,2,2021,1,0,80000,1,2021,14,6,0,35.0
2,1,2013,4,0,36359,1,2013,18,5,0,4.4
7,2,2019,1,0,70000,1,2019,17,6,0,14.6
7,1,2022,4,0,7500,0,2022,19,8,0,20.41
8,1,2017,4,0,30301,0,2017,17,6,0,10.33
2,1,2010,4,4,66000,1,2010,20,5,0,2.75
2,1,2017,4,4,56010,1,2017,18,5,0,6.76
7,1,2017,1,4,47000,0,2017,17,9,0,42.9
7,2,2014,1,0,60000,1,2014,19,6,0,6.5
2,1,2014,1,0,83829,1,2014,25,5,0,4.44
2,1,2020,4,4,10000,0,2020,22,5,0,5.1
7,2,2016,1,4,35000,0,2016,19,6,0,9.25
8,2,2019,4,0,51116,0,2019,18,5,0,10.24
8,3,2016,1,0,80000,1,2016,21,5,0,5.0
2,2,2017,4,4,40000,0,2017,17,7,0,9.95
7,2,2012,4,0,85565,0,2012,11,5,0,9.35
7,1,2018,4,0,36916,1,2018,17,5,0,8.34
2,1,2015,1,4,90000,1,2015,20,5,0,5.6
2,1,2012,4,0,112795,1,2012,22,5,0,4.54
8,1,2021,4,4,11000,0,2021,19,7,0,36.9
4,2,2014,4,0,120000,1,2014,11,5,0,11.0
2,2,2016,4,4,36685,1,2016,19,5,0,4.62
7,2,2012,1,0,120000,0,2012,11,6,0,9.0
8,1,2022,4,0,4000,0,2022,13,8,0,79.0
2,2,2019,4,0,32184,0,2019,21,5,0,8.43
2,1,2018,4,4,32279,1,2018,21,5,0,7.99
2,1,2015,4,4,59698,1,2015,18,5,0,5.76
7,1,2018,1,0,46071,1,2018,20,6,0,9.49
7,1,2017,1,4,90000,1,2017,24,5,0,7.95
7,1,2019,4,0,9554,1,2019,18,6,0,10.85
7,1,2022,4,0,14000,0,2022,14,7,0,25.9
7,2,2013,1,4,74499,1,2013,20,5,0,5.16
7,2,2017,4,0,56211,0,2017,14,6,0,7.77
2,1,2019,4,4,9001,1,2019,18,5,0,7.53
7,2,2017,1,0,65457,0,2017,16,6,0,12.26
2,1,2017,4,0,23682,1,2017,18,5,0,7.25
8,1,2020,1,4,50000,1,2020,22,6,0,11.5
2,2,2015,1,0,134557,1,2015,25,5,0,6.29
8,2,2013,4,0,96567,1,2013,22,5,0,4.47
2,3,2015,4,0,120000,1,2015,23,5,0,4.0
4,2,2014,1,0,83007,1,2014,20,5,0,7.86
2,1,2018,4,4,34000,1,2018,18,5,0,7.45
2,1,2014,4,4,81634,0,2014,18,4,0,4.9
8,2,2017,4,4,57284,0,2017,18,5,0,9.42
