it,ft,bt,km,transmission,ownerNo,owner,model,modelYear,price,Engine Displacement,Fuel Type,Insurance Validity,Kms Driven,Ownership,RTO,Registration Year,Seats,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Seats,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,Alloy Wheel Size,Ground Clearance Unladen,City
0,Petrol,Hatchback,"50,000",Manual,1,1st Owner,Maruti Baleno,2018,₹ 6.90 Lakh,1197 cc,Petrol,Third Party insurance,50000 Kms,First Owner,KA51,2018,5 Seats,Manual,2018,21.4 kmpl,1197 CC,83.1bhp@6000rpm,115Nm,5,Red,VVT Petrol Engine,1197,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3995mm,1745mm,1510mm,2520mm,1515mm,1525mm,870kg,1340kg,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,180 Kmph,12.36 seconds,"Tubeless,Radial",5,339-litres,,,,Bangalore
0,Petrol,Hatchback,"24,887",Automatic,1,1st Owner,Hyundai Grand i10,2019,₹ 6.82 Lakh,1197 cc,Petrol,Third Party insurance,24887 Kms,First Owner,KA03,May 2019,5 Seats,Automatic,2019,18.9 kmpl,1197 CC,81.86bhp@6000rpm,113.75nm,5,Orange,Kappa VTVT Petrol Engine,1197,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3765mm,1660mm,1520mm,2425mm,1479mm,1493mm,1200,,4 Speed,FWD,5,Power,4.8 metres,Disc,Drum,165 Kmph,12.9 Seconds,Tubeless,5,256,14,14,,Bangalore
0,Petrol,Hatchback,"23,000",Automatic,1,1st Owner,Honda Jazz,2018,₹ 8.25 Lakh,1199 cc,Petrol,Comprehensive,23000 Kms,First Owner,KA03,Oct 2018,5 Seats,Automatic,2018,18.2 kmpl,1199 CC,88.7bhp@6000rpm,110Nm,5,Grey,i-VTEC Petrol Engine,1199,110Nm@4800rpm,4.0,4.0,SOHC,PGM - Fi,,,No,No,3955 mm,1694 mm,1544 mm,2530 mm,,,1066 Kg,,5 Speed,FWD,5,Power,5.1 meters,Disc,Drum,172 Kmph,13.7 Seconds,"Tubeless,Radial",5,354-litres,15,15,,Bangalore
0,Petrol,Hatchback,"48,928",Automatic,1,1st Owner,Tata Tiago,2018,₹ 5.95 Lakh,1199 cc,Petrol,Comprehensive,48928 Kms,First Owner,KA01,Aug 2018,5 Seats,Automatic,2018,23.84 kmpl,1199 CC,83.83bhp@6000rpm,114Nm,5,Red,Revotron Engine,1199,114Nm@3500rpm,3.0,4.0,DOHC,MPFi,77 X 85.8 mm,10.8:1,No,No,3746mm,1647mm,1535mm,2400mm,1400mm,1420mm,1012kg,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,150 kmph,,Tubeless,5,242-litres,14,14,,Bangalore
0,Diesel,SUV,"1,08,862",Manual,3,3rd Owner,Mahindra XUV500,2014,₹ 6.90 Lakh,2179 cc,Diesel,Comprehensive,108862 Kms,Third Owner,OD02,Aug 2014,7 Seats,Manual,2014,15.1 kmpl,2179 CC,140bhp@3750rpm,330Nm,7,Silver,mHawk Diesel Engine,2179,330Nm@1600-2800rpm,4.0,4.0,DOHC,Direct Injection ,,,Yes,No,4585mm,1890mm,1785mm,2700mm,,,1900,2450kg,6 Speed ,FWD,7,Power,5.6 metres,Disc & Caliper Type,Disc & Caliper Type,175 kmph,12.5 Seconds,"Tubeless,Radial ",5,,,,,Bangalore
0,Diesel,SUV,"80,000",Manual,1,1st Owner,Jeep Compass,2018,₹ 13.50 Lakh,1956 cc,Diesel,Third Party insurance,80000 Kms,First Owner,KA01,2018,5 Seats,Manual,2018,17.1 kmpl,1956 CC,170bhp@3750rpm,350Nm,5,Others,2.0-Litre 4-Cyl Multijet II Engine,1956,350Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,4395mm,1818mm,1640mm,2636mm,,,1562 kgs,,6 Speed,4X2,5,Power,,Disc,Discs,,,"Radial, Tubless",5,408-litres,17,17,,Bangalore
0,Diesel,SUV,"16,000",Automatic,1,1st Owner,Mercedes-Benz GLA,2022,₹ 55.95 Lakh,1950 cc,Diesel,Comprehensive,16000 Kms,First Owner,KA41,Jun 2022,5 Seats,Automatic,2022,,1950 CC,187.74bhp@3800rpm,400Nm,5,Blue,,1950,400Nm@1600-2600rpm,4.0,4.0,,,,,Yes,,4436mm,2020mm,1611mm,2729mm,1617mm,1596mm,1675,,8G-DCT,AWD,5,,,Disc,Disc,219kmph,7.3sec,"Tubeless,Radial",5,,19,19,,Bangalore
0,Diesel,Hatchback,"65,376",Manual,2,2nd Owner,Hyundai i20,2014,₹ 5.21 Lakh,1396 cc,Diesel,Comprehensive,65376 Kms,Second Owner,KA02,May 2014,5 Seats,Manual,2014,21.27 kmpl,1396 CC,88.76bhp@4000rpm,219.6Nm,5,Blue,U2 CRDI Diesel Engine,1396,219.6Nm@1500-2750rpm,4.0,4.0,DOHC,CRDI,,,No,No,3995mm,1710mm,1505mm,2525mm,1505mm,1503mm,1120,,6 Speed,FWD,5,Power,,Disc,Disc,,,"Tubeless,Radial",5,,14,14,,Bangalore
0,Petrol,SUV,"10,000",Manual,1,1st Owner,Tata Nexon,2022,₹ 10.05 Lakh,1199 cc,Petrol,Third Party insurance,10000 Kms,First Owner,KA53,2022,5 Seats,Manual,2022,17.33 kmpl,1199 CC,118.35bhp@5500rpm,170Nm,5,Others,1.2l Turbocharged Revotron Engine,1199,170Nm@1750-4000rpm,3.0,4.0,,,,,NO,,3993,1811,1606,2498,,,1315,,6 Speed,,5,Electric,5.1,Disc,Drum,,,"Tubeless,Radial",5,350,,,,Bangalore
0,Petrol,Sedan,"67,000",Manual,2,2nd Owner,Honda City,2016,₹ 7.75 Lakh,1497 cc,Petrol,Comprehensive,67000 Kms,Second Owner,KA04,Sept 2016,5 Seats,Manual,2016,17.8 kmpl,1497 CC,117.3bhp@6600rpm,145Nm,5,Brown,i VTEC Engine,1497,145Nm@4600rpm,4.0,4.0,SOHC,PGM-Fi,73.0 X 89.4 mm,10.3:1,No,No,4440mm,1695mm,1495mm,2600mm,1480mm,1465mm,1049kg,,5 Speed,FWD,5,Power,5.3 metres,Disc,Drum,195 Kmph,10 Seconds,"Tubeless,Radial",4,510-litres,15,15,,Bangalore
