it,ft,bt,km,transmission,ownerNo,owner,model,modelYear,price,Engine Displacement,Fuel Type,Insurance Validity,Kms Driven,Ownership,RTO,Registration Year,Seats,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Seats,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,Alloy Wheel Size,Ground Clearance Unladen,City
0,Petrol,Hatchback,"55,000",Automatic,2,2nd Owner,Maruti Celerio,2017,₹ 4 Lakh,1198 cc,Petrol,Comprehensive,55000 Kms,Second Owner,TN03,2008,7 Seats,Automatic,2008,23.1 kmpl,998 CC,67.04bhp@6000rpm,90Nm,5,White,K10B Engine ,998,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,73 X 82 mm,11.0:1,No,No,3600mm,1600mm,1560mm,2425mm,1420mm,1410mm,810kg,1250kg,5 Speed ,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,150 Kmph,15.05 Seconds,"Tubeless, Radial",5,235-litres,,,,Chennai
0,Petrol,MUV,"13,000",Automatic,1,1st Owner,Toyota Innova Crysta,2022,₹ 27.90 Lakh,1199 cc,Petrol,Third Party insurance,13000 Kms,First Owner,TN11,Jun 2017,5 Seats,Automatic,2017,8 kmpl,2694 CC,163.60bhp@5200rpm,245nm,7,White,2.7 L Dual VVT,2694,245nm@4000rpm,4.0,4.0,DOHC,,,,,,4735mm,1830mm,1795mm,2750mm,1530mm,1530mm,1790kg,2340kg,6 Speed,RWD,7,Power,5.4,Disc,Drum,,,"Tubeless,Radial",5,300,17,17,,Chennai
0,Petrol,Hatchback,"71,638",Automatic,2,2nd Owner,Maruti Celerio,2016,₹ 4.22 Lakh,1498 cc,Petrol,Third Party insurance,71638 Kms,Second Owner,TN05,Aug 2016,5 Seats,Automatic,2016,23.1 kmpl,998 CC,67.04bhp@6000rpm,90Nm,5,Red,K10B Engine,998,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,73 X 82 mm,11.0:1,No,No,3715mm,1635mm,1565mm,2425mm,1420mm,1410mm,845kg,1250kg,5 Speed ,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,150 Kmph,15.05 Seconds,"Tubeless, Radial",5,235-litres,,,,Chennai
0,Petrol,Sedan,"46,105",Manual,1,1st Owner,Honda Amaze,2015,₹ 4.50 Lakh,2143 cc,Petrol,Comprehensive,46105 Kms,First Owner,TN18,2016,5 Seats,Manual,2016,18 kmpl,1198 CC,86.7bhp@6000rpm,109Nm,5,White,i-VTEC Petrol Engine,1198,109Nm@4500rpm,4.0,4.0,SOHC,,,,No,No,3990mm,1680mm,1505mm,2405mm,,,960kg,,5 Speed,FWD,5,Power,4.5 metres,Disc,Drum,160 Kmph,15 Seconds,"Tubeless,Radial",4,400-litres,,,,Chennai
0,Petrol,SUV,"60,000",Manual,1,1st Owner,Honda WR-V,2017,₹ 6.50 Lakh,1298 cc,Petrol,Third Party insurance,60000 Kms,First Owner,TN07,Jun 2022,5 Seats,Manual,2022,17.5 kmpl,1199 CC,88.7bhp@6000rpm,110Nm,5,Others,i-VTEC Petrol Engine,1199,110Nm@4800rpm,4.0,4.0,SOHC,MPFi,,,No,No,3999mm,1734mm,1601mm,2555mm,,,1103kg,,5 Speed,FWD,5,Electric,5.3 metres,Ventilated Disc,Drum,164.26 kmph,15.31 Seconds,"Tubeless,Radial",5,363 Litres,16,16,,Chennai
0,Diesel,Hatchback,"80,000",Manual,1,1st Owner,Honda Jazz,2017,₹ 5.75 Lakh,1197 cc,Diesel,Third Party,80000 Kms,First Owner,TN64,Aug 2016,5 Seats,Manual,2016,27.3 kmpl,1498 CC,98.6bhp@3600rpm,200Nm,5,Others,i-DTEC Diesel Engine,1498,200Nm@1750rpm,4.0,4.0,DOHC,,,,Yes,No,3955mm,1694mm,1544mm,2530mm,,,1146kg,,6 Speed,FWD,5,Power,5.1 meters,Disc,Drum,172 Kmph,13.7 Seconds,"Tubeless, Radial",5,354-litres,,,,Chennai
0,Diesel,Hatchback,"58,000",Automatic,1,1st Owner,Mercedes-Benz B Class,2015,₹ 19.50 Lakh,1198 cc,Diesel,Third Party insurance,58000 Kms,First Owner,TN13,2013,5 Seats,Automatic,2013,15 kmpl,2143 CC,107.3bhp@3200-4400rpm,250Nm,5,Grey,In-line Diesel Engine,2143,250Nm@1400-2800rpm,4.0,4.0,,Direct Injection,,,Yes,No,4359mm,2010mm,1557mm,2699mm,1522mm,1549mm,1565kg,2025kg,7G DCT 7-Speed Dual Clutch Transmission ,FWD,5,Power,5.5 metres,Disc,Disc,190km/hr,10.7 Seconds,"Tubeless,Radial",5,486-litres,16,16,,Chennai
0,Petrol,Sedan,"70,000",Manual,2,2nd Owner,Maruti Esteem,2008,₹ 1.50 Lakh,1461 cc,Petrol,Third Party insurance,70000 Kms,Second Owner,TN07,Jun 2021,5 Seats,Manual,2021,15.9 kmpl,1298 CC,85 PS @ 6000 rpm ,110 Nm ,5,Silver,In-Line Engine,1298,110 Nm @ 4500 rpm ,4.0,4.0,SOHC,,74 x 75.5 mm,9:01,No,No,4095mm,1575mm,1395mm,2365mm,1365mm,1340mm,875kg,1315kg,5 Speed,,5,Power,4.8 m,Booster assisted ventilated disc,Booster assisted drum,164 kmph,13.1 seconds,"Tubeless,Radial",4,,13,13,,Chennai
0,Petrol,Hatchback,"61,764",Automatic,1,1st Owner,Maruti Baleno,2017,₹ 7.02 Lakh,998 cc,Petrol,Third Party,61764 Kms,First Owner,TN22,Aug 2018,6 Seats,Automatic,2018,21.4 kmpl,1197 CC,83.1bhp@6000rpm,115Nm,5,Grey,VVT Petrol Engine,1197,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3995mm,1745mm,1510mm,2520mm,1505mm,1515mm,920kg,1360kg,CVT,FWD,5,Power,4.9 meters,Disc,Drum,180 Kmph,12.79 seconds,"Tubeless,Radial",5,339-litres,16,16,,Chennai
0,Petrol,SUV,"36,018",Manual,2,2nd Owner,Mahindra KUV 100,2016,₹ 4.48 Lakh,1497 cc,Petrol,Comprehensive,36018 Kms,Second Owner,TN12,Jan 2018,5 Seats,Manual,2017,18.15 kmpl,1198 CC,82bhp@5500rpm,115Nm,6,Orange,mFALCON G80 Engine,1198,115Nm@3500-3600rpm,3.0,4.0,DOHC,MPFI,,,No,No,3675mm,1715mm,1635mm,2385mm,1490mm,1490mm,1155,,5 Speed,FWD,6,Power,5.05 meters,Disc,Drum,160 kmph,14.5 seconds,"Tubeless,Radial",5,243-litres,,,,Chennai
0,Diesel,SUV,"1,50,000",Automatic,1,1st Owner,Renault Duster,2016,₹ 6.50 Lakh,1798 cc,Diesel,Third Party insurance,150000 Kms,First Owner,TN06,Mar 2018,5 Seats,Automatic,2018,19.6 kmpl,1461 CC,108.45bhp@4000rpm,245Nm,5,Others,dCi THP Diesel Engine,1461,245Nm@1750rpm,4.0,4.0,DOHC,CRDi,,,Yes,No,4315mm,1822mm,1695mm,2673mm,1560mm,1567mm,1245,1813kg,6 Speed,FWD,5,Power,5.2 metres,Disc,Drum,168 Kmph,12.5 Seconds,"Tubeless,Radial",5,475-litres,,,,Chennai
0,Petrol,Hatchback,"17,197",Manual,1,1st Owner,Hyundai Grand i10 Nios,2022,₹ 8.01 Lakh,1197 cc,Petrol,Third Party,17197 Kms,First Owner,TN01,Jul 2016,5 Seats,Manual,2015,20.7 kmpl,998 CC,98.63bhp@6000rpm,172nm,5,Black,1.0 Turbo GDi petrol,998,172nm@1500-4000rpm,3.0,4.0,,,,,Yes,,3805mm,1680,1520,2450,,,1180,,5-Speed,,5,Electric,,Disc,Drum,,,"Tubeless, Radial",5,,15,15,,Chennai
0,Petrol,Sedan,"62,931",Automatic,2,2nd Owner,Honda City,2016,₹ 7.72 Lakh,1364 cc,Petrol,Comprehensive,62931 Kms,Second Owner,TN06,Sept 2014,5 Seats,Automatic,2014,18 kmpl,1497 CC,117.3bhp@6600rpm,145Nm,5,Brown,i VTEC Engine,1497,145Nm@4600rpm,4.0,4.0,SOHC,PGM-Fi,73.0 X 89.4 mm,10.3:1,No,No,4440mm,1695mm,1495mm,2600mm,1480mm,1465mm,1085kg,,5 Speed CVT,FWD,5,Power,5.3 metres,Disc,Drum,195 Kmph,10 Seconds,"Tubeless,Radial",4,510-litres,15,15,,Chennai
0,Petrol,Sedan,"90,000",Manual,2,2nd Owner,Toyota Corolla Altis,2013,₹ 5 Lakh,1248 cc,Petrol,Third Party insurance,90000 Kms,Second Owner,TN14,Nov 2015,5 Seats,Manual,2015,14.53 kmpl,1798 CC,138.1bhp@6400rpm,173Nm,5,Others,DOHC Dual VVT-i Petrol En,1798,173Nm@4000rpm,4.0,4.0,DOHC,EFI(Electronic Fuel Injection),,,No,No,4620mm,1776mm,1475mm,2700mm,1530mm,1535mm,1340,,6 Speed ,FWD,5,Power,5.3 metres,Ventilated Disc,Solid Disc,205km/hr,10.42Seconds,"Tubeless,Radial",4,475-litres,15,15,,Chennai
0,Petrol,SUV,"21,023",Manual,1,1st Owner,Mahindra XUV300,2021,₹ 11.03 Lakh,1591 cc,Petrol,Third Party insurance,21023 Kms,First Owner,TN14,Jun 2019,5 Seats,Manual,2019,16.82 kmpl,1197 CC,108.62bhp@5000rpm,200Nm,5,Red,1.2L Petrol,1197,200Nm@2000-3500rpm,3.0,4.0,,,,,Yes,,3995mm,1821mm,1627mm,2600mm,,,1430,,6 Speed,,5,Power,5.3,Disc,Disc,,,"Tubeless, Radial",5,,16,16,,Chennai
0,Diesel,Sedan,"43,000",Manual,1,1st Owner,Toyota Corolla Altis,2018,₹ 14.90 Lakh,1968 cc,Diesel,Third Party insurance,43000 Kms,First Owner,TN01,2017,5 Seats,Manual,2017,21.43 kmpl,1364 CC,86.79bhp@3800rpm,205Nm,5,White,D-4D Diesel Engine,1364,205Nm@1800-2800rpm,4.0,4.0,DOHC,CRDi,,,Yes,No,4620mm,1775mm,1475mm,2700mm,1530mm,1535mm,1270kg,1670kg,6 Speed,FWD,5,Power,5.4 meters,Ventilated Disc,Solid Disc,170 Kmph,11.8 Seconds,"Tubeless,Radial",4,470,16,16,,Chennai
0,Diesel,Sedan,"1,10,505",Automatic,1,1st Owner,Maruti Swift Dzire,2017,₹ 6.27 Lakh,1199 cc,Diesel,Comprehensive,110505 Kms,First Owner,TN73,2017,5 Seats,Automatic,2017,28.4 kmpl,1248 CC,74.02bhp@4000rpm,190Nm,5,Silver,DDiS Diesel Engine,1248,190Nm@2000rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,3995mm,1735mm,1515mm,2450mm,1530mm,1520mm,955-990Kg,1405Kg,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,,,"Tubeless,Radial",4,378,,,,Chennai
0,Petrol,Sedan,"78,892",Manual,1,1st Owner,Hyundai Verna,2018,₹ 8.35 Lakh,2967 cc,Petrol,Third Party insurance,78892 Kms,First Owner,TN09,Jul 2020,5 Seats,Manual,2020,17 kmpl,1591 CC,121.3bhp@6400rpm,151Nm,5,Silver,VTVT Petrol Engine,1591,151Nm@4850rpm,4.0,4.0,DOHC,MPFI,,,No,No,4440mm,1729mm,1475mm,2600mm,,,1228,,6 Speed,FWD,5,Power,,Disc,Drum,,11.31 Seconds,Tubeless,4,480,16,16,,Chennai
0,Diesel,Sedan,"59,000",Automatic,1,1st Owner,Audi A6,2015,₹ 20.90 Lakh,1498 cc,Diesel,Comprehensive,59000 Kms,First Owner,TN07,Jun 2018,5 Seats,Automatic,2018,18.53 kmpl,1968 CC,187.74bhp@3800-4200rpm,400Nm,5,White,In Line Diesel Engine,1968,400Nm@1750-3000rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,4933mm,1874mm,1455mm,2912mm,1627mm,1618mm,1735kg,2240kg,7 Speed,FWD,5,Power,5.95 metres,Ventilated Disc,Ventilated Disc,232 Kmph,8.4 Seconds,"Tubeless,Radial",4,530-litres,18,18,,Chennai
0,Petrol,Sedan,"90,058",Manual,1,1st Owner,Chevrolet Sail,2014,₹ 3.50 Lakh,1248 cc,Petrol,Third Party insurance,90058 Kms,First Owner,TN04,Aug 2018,5 Seats,Manual,2018,18.2 kmpl,1199 CC,82.4bhp@6000rpm,108.5Nm,5,White,SMARTECH Petrol Engine,1199,108.5Nm@5000rpm,4.0,4.0,DOHC,MPFi,,,No,No,4249mm,1690mm,1503mm,2465mm,,,1065kg,,5 Speed,FWD,5,Power,5.15 metres ,Disc,Drum,155 Kmph,14 Seconds,"Tubeless,Radial",4,370-litres,,,,Chennai
0,Diesel,SUV,"69,000",Automatic,1,1st Owner,Audi Q5,2015,₹ 21 Lakh,1248 cc,Diesel,Third Party insurance,69000 Kms,First Owner,TN01,Aug 2017,5 Seats,Automatic,2017,13.22 kmpl,2967 CC,241.4bhp@4000-4500rpm,580Nm,5,White,TDI Quattro Engine,2967,580Nm@1400-3250rpm,6.0,4.0,DOHC,CRDI,,,Yes,No,4629mm,2089mm,1655mm,2807mm,1617mm,1614mm,1955kg,2470kg,7 Speed ,AWD,5,Power,5.8 metres,Ventilated Disc,Disc,225 Kmph,6.5 Seconds,"Tubeless,Radial",5,540-litres,18,18,,Chennai
0,Diesel,SUV,"67,000",Manual,1,1st Owner,Honda WR-V,2019,₹ 9.25 Lakh,2967 cc,Diesel,Comprehensive,67000 Kms,First Owner,TN10,Jul 2018,5 Seats,Manual,2018,25.5 kmpl,1498 CC,98.6bhp@3600rpm,200Nm,5,Red,i-DTEC Diesel Engine,1498,200Nm@1750rpm,4.0,4.0,DOHC,CRDi,,,Yes,No,3999mm,1734mm,1601mm,2555mm,,,1198kg,,6 Speed,FWD,5,Electric,5.3 metres,Ventilated Disc,Drum,176 kmph,12.43 Seconds,"Tubeless,Radial",5,363 Litres,16,16,,Chennai
0,Diesel,Sedan,"80,000",Manual,1,1st Owner,Maruti Ciaz,2017,₹ 8.50 Lakh,2393 cc,Diesel,Comprehensive,80000 Kms,First Owner,TN22,Jul 2019,5 Seats,Manual,2019,28.09 kmpl,1248 CC,88.5bhp@4000rpm,200Nm,5,Others,DDIS Diesel Engine,1248,200Nm@1750rpm,4.0,4.0,DOHC,CRDI,69.6 X 82mm,10.1:1,Yes,No,4490mm,1730mm,1485mm,2650mm,1495mm,1505mm,1135kg,1595kg,5 Speed,FWD,5,Power,5.4 metres,Ventilated Disc,Drum,190 kmph,15 Seconds,"Tubeless, Radial",4,510-litres,16,16,,Chennai
0,Diesel,Sedan,"80,000",Manual,1,1st Owner,Maruti Ciaz,2017,₹ 8.50 Lakh,2143 cc,Diesel,Comprehensive,80000 Kms,First Owner,TN13,Mar 2016,7 Seats,Manual,2016,28.09 kmpl,1248 CC,88.5bhp@4000rpm,200Nm,5,Others,DDIS Diesel Engine,1248,200Nm@1750rpm,4.0,4.0,DOHC,CRDI,69.6 X 82mm,10.1:1,Yes,No,4490mm,1730mm,1485mm,2650mm,1495mm,1505mm,1135kg,1595kg,5 Speed,FWD,5,Power,5.4 metres,Ventilated Disc,Drum,190 kmph,15 Seconds,"Tubeless, Radial",4,510-litres,16,16,,Chennai
0,Diesel,SUV,"57,000",Automatic,1,1st Owner,Audi Q7,2020,₹ 66 Lakh,2993 cc,Diesel,Comprehensive,57000 Kms,First Owner,TN12,Jul 2021,8 Seats,Automatic,2021,14.75 kmpl,2967 CC,245bhp@2910-4500rpm,600Nm,7,White,V-Type Diesel Engine,2967,600Nm@1500-3000rpm,4.0,4.0,DOHC,CRDi,84.5 x 89.0,,Yes,No,5052 mm,2212 mm,1740 mm,2994 mm,1679 mm,1691 mm,2330 kg,2925 kg,8 Speed,AWD,7,Power,6.2 metres,Ventilated Disc,Ventilated Disc,234 Kmph,7.1 Seconds,"Tubeless,Radial",5,890 litres,19,19,,Chennai
0,Diesel,MUV,"8,00,000",Manual,1,1st Owner,Toyota Innova Crysta,2018,₹ 21.50 Lakh,1198 cc,Diesel,Comprehensive,800000 Kms,First Owner,TN10,Jun 2019,5 Seats,Manual,2019,13.68 kmpl,2393 CC,147.8bhp@3400rpm,343Nm,8,Black,2-GD FTV Engine,2393,343Nm@1400-2800rpm,7.0,4.0,DOHC,Direct Injection,3.62 X 4.08 mm,,Yes,No,4735mm,1830mm,1795mm,2750mm,1540mm,1540mm,1825kg,2460kg,5 Speed,RWD,8,Power,5.4 meters,Disc,Drum,,,"Tubeless,Radial",5,,16,16,178mm,Chennai
0,Diesel,Sedan,"55,00,000",Automatic,1,1st Owner,Mercedes-Benz C-Class,2018,₹ 36 Lakh,999 cc,Diesel,Third Party insurance,5500000 Kms,First Owner,TN05,Aug 2013,5 Seats,Automatic,2013,19.27 kmpl,2143 CC,167.62bhp@3000-4200rpm,400Nm,5,Blue,In-Line Engine,2143,400Nm@1400-2800rpm,4.0,4.0,DOHC,CRDi,,,Yes,No,4686mm,2020mm,1442mm,2840mm,1588mm,1588 mm,1655kg,2135kg,9 Speed,RWD,5,Power,5.61 metres,Disc,Disc,233 Kmph,7.4 Seconds,"Tubeless, Radial",4,480-litres,16,16,,Chennai
0,Diesel,Sedan,"27,000",Automatic,1,1st Owner,BMW 7 Series,2017,₹ 68 Lakh,2993 cc,Diesel,Comprehensive,27000 Kms,First Owner,TN19,Dec 2018,5 Seats,Automatic,2018,16.46 kmpl,2993 CC,258bhp@4000rpm,560Nm,5,White,Diesel Engine,2993,560Nm@1500rpm,6.0,4.0,DOHC,CRDi,84.0 x 90.0 mm,16.5:1,Yes,No,5219mm,2142mm,1481mm,3210mm,1611mm,1650mm,2240,,8 Speed,RWD,5,Power,6.25 meters,Disc,Disc,250 kmph,6.2 Seconds,"Tubeless,Radial",4,500-litres,19,19,,Chennai
0,Petrol,SUV,"38,334",Manual,1,1st Owner,Tata Nexon,2018,₹ 7.07 Lakh,1956 cc,Petrol,Comprehensive,38334 Kms,First Owner,TN09,Jun 2022,5 Seats,Manual,2022,17 kmpl,1198 CC,108.5bhp@5000rpm,170Nm,5,Silver,Revotron 1.2L Turbocharged engine,1198,170Nm@1750-4000rpm,3.0,4.0,DOHC,MPFI,77x85.8,,Yes,No,3994mm,1811mm,1607mm,2498mm,1540 mm,1530 mm,1252Kg,,6 Speed,FWD,5,Power,5.1m,Disc,Drum,154.19 kmph,11.64 Seconds,Tubeless Radial Tyres,5,350,,,209 mm,Chennai
0,Petrol,Hatchback,"36,992",Manual,1,1st Owner,Volkswagen Polo,2019,₹ 6.80 Lakh,1198 cc,Petrol,Third Party,36992 Kms,First Owner,TN83,Mar 2019,5 Seats,Manual,2019,17.74 kmpl,999 CC,75.10bhp@6200rpm,95Nm,5,Red,1.0L MPI Petrol,999,95Nm@2950-3800rpm,3.0,4.0,DOHC,MPI,74.5x76.4 mm,10.5:1,No,No,3971mm,1682mm,1469mm,2469mm,1460mm,1456mm,1030Kg,1500Kg,5 Speed,FWD,5,Electronic,4.9,Disc,Drum,,,"Tubeless,Radial",5,280,R15,R15,,Chennai
0,Diesel,SUV,"50,000",Automatic,2,2nd Owner,BMW X3,2016,₹ 37.50 Lakh,2143 cc,Diesel,Comprehensive,50000 Kms,Second Owner,TN85,Jun 2020,6 Seats,Automatic,2020,16.55 kmpl,2993 CC,258bhp@4000rpm,560Nm,5,Red,xDrive30d Diesel Engine ,2993,560Nm@1500-3000rpm,6.0,4.0,DOHC,CRDi,,,Yes,No,4657mm,2089mm,1678mm,2810mm,1616mm,1632mm,1780,,8 Speed,4WD,5,Power,5.95 metres,Disc,Disc,232 Kmph,5.9 Seconds,"Tubeless,Radial",5,485-liters,18,18,,Chennai
0,Diesel,SUV,"34,596",Automatic,1,1st Owner,Tata New Safari,2021,₹ 20.39 Lakh,1086 cc,Diesel,Zero Dep,34596 Kms,First Owner,TN09,2022,5 Seats,Automatic,2022,14.08 kmpl,1956 CC,167.67bhp@3750rpm,350Nm,6,Silver,Kryotec 2.0 L Turbocharged Engine,1956,350Nm@1750-2500rpm,4.0,4.0,,,,,Yes,,4661mm,1894mm,1786mm,2741mm,,,1825kg,,6-Speed,,6,Power,,Disc,Disc,,,"Tubeless, Radial",5,73,18,18,,Chennai
0,Petrol,Hatchback,"84,564",Manual,1,1st Owner,Datsun GO,2019,₹ 4.01 Lakh,999 cc,Petrol,Third Party insurance,84564 Kms,First Owner,TN45,2010,5 Seats,Manual,2010,19.02 kmpl,1198 CC,67.05bhp@5000rpm,104Nm,5,White,Naturally Aspirated 12V,1198,104Nm@4000rpm,3.0,4.0,DOHC,Electronic Injection System,,,No,No,3788mm,1636mm,1507mm,2450mm,,,875kg,,5 Speed,FWD,5,Power,4.6 metres,Disc,Drum,,,Tubeless,5,265,,,180mm,Chennai
0,Diesel,Sedan,"60,001",Automatic,2,2nd Owner,Mercedes-Benz E-Class,2013,₹ 21.50 Lakh,1498 cc,Diesel,Comprehensive,60001 Kms,Second Owner,TN06,Aug 2020,5 Seats,Automatic,2020,13 kmpl,2143 CC,204bhp@4200rpm,500Nm,5,Silver,In-Line Diesel Engine,2143,500Nm@1600-1800rpm,4.0,4.0,,CRDI,,,Yes,No,4879mm,1854mm,1474mm,2874mm,1598mm,1614mm,1800kg,2280kg,7 Speed,RWD,5,Power,5.3 metres,Disc,Disc,242km/hr,7.5 Seconds,"Tubeless,Radial",4,540-litre,18,18,,Chennai
0,Petrol,Hatchback,"23,462",Manual,1,1st Owner,Hyundai Santro,2018,₹ 5.05 Lakh,1197 cc,Petrol,Third Party,23462 Kms,First Owner,TN09,Dec 2022,5 Seats,Manual,2022,20.3 kmpl,1086 CC,68bhp@5500rpm,99Nm,5,White,1.1 litre Petrol Engine,1086,99Nm@4500 rpm,4.0,3.0,DOHC,MPFI,,,No,No,3610 mm,1645 mm,1560 mm,2400 mm,1476 mm,1494 mm,1010,,5 Speed,FWD,5,Power,,Disc,Drum,,,"Tubeless,Radial",5,235,,,,Chennai
0,Petrol,SUV,"13,000",Automatic,1,1st Owner,Volkswagen Taigun,2022,₹ 15.99 Lakh,1497 cc,Petrol,Third Party insurance,13000 Kms,First Owner,TN09,Oct 2016,5 Seats,Automatic,2016,18.41 kmpl,999 CC,113.98bhp@5000-5500rpm,178Nm,5,Red,1.0L TSI,999,178Nm@1750-4500rpm,3.0,4.0,,TSI,,,Yes,,4221mm,1760mm,1612mm,2651,1531,1516,1285,1670,6-Speed,,5,Electric,5.05,Disc,Drum,,,"Tubeless, Radial",5,385,17,17,,Chennai
0,Diesel,Sedan,"54,658",Automatic,1,1st Owner,Honda Amaze,2019,₹ 8.30 Lakh,1368 cc,Diesel,Third Party insurance,54658 Kms,First Owner,TN13,Jul 2011,5 Seats,Automatic,2011,23.8 kmpl,1498 CC,78.9bhp@3600rpm,160Nm,5,Red,i-DTEC Diesel Engine,1498,160Nm@1750rpm,4.0,4.0,DOHC,CRDi,,,Yes,No,3995mm,1695mm,1501mm,2470mm,,,1039kg,,5 Speed,FWD,5,Power,4.9 metres,Disc,Drum,140 Kmph,11.27 Seconds,"Tubeless,Radial",4,420,,,,Chennai
0,Petrol,SUV,"34,164",Manual,1,1st Owner,Mahindra XUV300,2020,₹ 10.36 Lakh,1197 cc,Petrol,Third Party insurance,34164 Kms,First Owner,TN02,2018,5 Seats,Manual,2018,16.82 kmpl,1197 CC,108.62bhp@5000rpm,200Nm,5,Green,1.2L Petrol,1197,200Nm@2000-3500rpm,3.0,4.0,,,,,Yes,,3995mm,1821mm,1627mm,2600mm,,,1430,,6 Speed,,5,Power,5.3,Disc,Disc,,,"Tubeless, Radial",5,,16,16,,Chennai
0,Petrol,SUV,"10,000",Manual,1,1st Owner,Kia Seltos,2022,₹ 15.95 Lakh,2198 cc,Petrol,Comprehensive,10000 Kms,First Owner,TN11,Oct 2016,5 Seats,Manual,2016,16.8 kmpl,1497 CC,113.43bhp@6300rpm,144nm,5,Gray,SMARTSTREAM G1.5,1497,144nm@4500rpm,4.0,4.0,,MPI,,,No,,4315mm,1800mm,1645mm,2610mm,,,1485,,6-Speed iMT,FWD,5,Electric,,Disc,Disc,,,"Tubeless, Radial",5,433,16,16,,Chennai
0,Petrol,Hatchback,"70,000",Manual,3,3rd Owner,Fiat Punto,2010,₹ 1 Lakh,1197 cc,Petrol,Comprehensive,70000 Kms,Third Owner,TN05,Feb 2014,5 Seats,Manual,2014,14.6 kmpl,1368 CC,88.7bhp@6000rpm,115Nm,5,Red,FIRE Engine,1368,115Nm@4500rpm,4.0,4.0,DOHC,MPFi,,,No,No,3987mm,1687mm,1495mm,2510mm,,,1115kg,,5-Speed,FWD,5,Power,5m,Ventilated Disc,Drum,,,"Tubeless,Radial",5,280 Liters,15,15,,Chennai
0,Petrol,SUV,"37,000",Manual,1,1st Owner,Hyundai Venue,2020,₹ 8.25 Lakh,1197 cc,Petrol,Comprehensive,37000 Kms,First Owner,TN06,2011,7 Seats,Manual,2011,17.52 kmpl,1197 CC,81.86bhp@6000rpm,113.76nm,5,Blue,Kappa 1.2 L MPi Petrol,1197,113.76nm@4000rpm,4.0,4.0,,MPi,,,No,,3995 mm,1770 mm,1605 mm,2500 mm,,,1080,,5-Speed,FWD,5,Electric,,Disc,Drum,,,Radial,5,350,,,190mm,Chennai
0,Diesel,SUV,"20,000",Automatic,1,1st Owner,Mahindra XUV700,2022,₹ 29 Lakh,1198 cc,Diesel,Third Party insurance,20000 Kms,First Owner,TN07,Jun 2020,5 Seats,Automatic,2020,,2198 CC,182.38bhp@3500rpm,450Nm,7,Silver,2.2 L Turbo Diesel,2198,450Nm@1750-2800rpm,4.0,4.0,,CRDi,,,Yes,,4695mm,1890mm,1755mm,2750mm,,,1855,,6-Speed,AWD,7,Power,,Ventilated Disc,Solid Disc,162.41kmph,,"Tubeless, Radial",5,,18,18,,Chennai
0,Petrol,Hatchback,"53,967",Manual,1,1st Owner,Maruti Baleno,2016,₹ 5.50 Lakh,1197 cc,Petrol,Comprehensive,53967 Kms,First Owner,TN18,Jun 2016,5 Seats,Manual,2016,21.4 kmpl,1197 CC,83.1bhp@6000rpm,115Nm,5,Blue,VVT Petrol Engine,1197,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3995mm,1745mm,1510mm,2520mm,1505mm,1515mm,890Kg,1340kg,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,180 Kmph,12.36 seconds,"Tubeless,Radial",5,339-litres,16,16,,Chennai
0,Petrol,Hatchback,"52,700",Manual,1,1st Owner,Hyundai i10,2011,₹ 2.99 Lakh,1199 cc,Petrol,Comprehensive,52700 Kms,First Owner,TN01,2016,5 Seats,Manual,2016,20.36 kmpl,1197 CC,78.9bhp@6000rpm,111.7Nm,5,Red,Kappa Petrol Engine,1197,111.7Nm@4000rpm,4.0,4.0,DOHC ,MPFI,71 x 75.6 mm,10.5:1 ,No,No,3585mm,1595mm,1550mm,2380mm,1400mm,1385mm,930,,5 Speed,FWD,5,Power,,Ventilated Disc,Drum,,,"Tubeless,Radial",4,,13,13,,Chennai
