bt,ownerNo,modelYear,price,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City
Hatchback,3,2015,₹ 4 Lakh,Petrol,Third Party insurance,120000 Kms,Manual,2015.0,23.1 kmpl,5 Speed ,Bangalore
SUV,2,2018,₹ 8.11 Lakh,Petrol,Comprehensive,32706 Kms,Manual,2018.0,17 kmpl,5 Speed,Bangalore
Hatchback,1,2018,₹ 5.85 Lakh,Petrol,Comprehensive,11949 Kms,Manual,2018.0,23.84 kmpl,5 Speed,Bangalore
Sedan,1,2014,₹ 4.62 Lakh,Petrol,Comprehensive,17794 Kms,Manual,2014.0,19.1 kmpl,5 Speed ,Bangalore
SUV,1,2015,₹ 7.90 Lakh,Diesel,Third Party insurance,60000 Kms,Manual,2015.0,23.65 kmpl,5 Speed,Bangalore
SUV,1,2020,₹ 19 Lakh,Diesel,Third Party insurance,20000 Kms,Manual,2020.0,17.1 kmpl,6 Speed,Bangalore
Hatchback,1,2017,₹ 3.45 Lakh,Petrol,Comprehensive,37772 Kms,Manual,2017.0,20.63 kmpl,5 Speed,Bangalore
SUV,1,2021,₹ 12 Lakh,Petrol,Third Party insurance,30000 Kms,Automatic,2021.0,18.15 kmpl,7-Speed,Bangalore
Sedan,1,2018,₹ 9.60 Lakh,Petrol,Comprehensive,37000 Kms,Automatic,2018.0,20.28 kmpl,4 Speed,Bangalore
Hatchback,1,2017,₹ 5.85 Lakh,Petrol,Comprehensive,11949 Kms,Manual,2017.0,23.84 kmpl,5 Speed,Bangalore
Hatchback,1,2018,₹ 6.90 Lakh,Petrol,Third Party insurance,50000 Kms,Manual,2018.0,21.4 kmpl,5 Speed,Bangalore
Hatchback,1,2019,₹ 6.82 Lakh,Petrol,Third Party insurance,24887 Kms,Automatic,2019.0,18.9 kmpl,4 Speed,Bangalore
Hatchback,1,2018,₹ 8.25 Lakh,Petrol,Comprehensive,23000 Kms,Automatic,2018.0,18.2 kmpl,5 Speed,Bangalore
Hatchback,1,2018,₹ 5.95 Lakh,Petrol,Comprehensive,48928 Kms,Automatic,2018.0,23.84 kmpl,5 Speed,Bangalore
SUV,3,2014,₹ 6.90 Lakh,Diesel,Comprehensive,108862 Kms,Manual,2014.0,15.1 kmpl,6 Speed ,Bangalore
SUV,1,2018,₹ 13.50 Lakh,Diesel,Third Party insurance,80000 Kms,Manual,2018.0,17.1 kmpl,6 Speed,Bangalore
SUV,1,2022,₹ 55.95 Lakh,Diesel,Comprehensive,16000 Kms,Automatic,2022.0,,8G-DCT,Bangalore
Hatchback,2,2014,₹ 5.21 Lakh,Diesel,Comprehensive,65376 Kms,Manual,2014.0,21.27 kmpl,6 Speed,Bangalore
SUV,1,2022,₹ 10.05 Lakh,Petrol,Third Party insurance,10000 Kms,Manual,2022.0,17.33 kmpl,6 Speed,Bangalore
Sedan,2,2016,₹ 7.75 Lakh,Petrol,Comprehensive,67000 Kms,Manual,2016.0,17.8 kmpl,5 Speed,Bangalore
Sedan,3,2011,₹ 22 Lakh,Diesel,Third Party insurance,100000 Kms,Automatic,2011.0,18.48 kmpl,6 Speed,Bangalore
Hatchback,1,2016,₹ 5.82 Lakh,Petrol,Comprehensive,18083 Kms,Manual,2016.0,22.38 kmpl,5-Speed,Bangalore
SUV,1,2020,₹ 10.90 Lakh,Petrol,Third Party insurance,30000 Kms,Manual,2020.0,16.42 kmpl,5-Speed,Bangalore
Hatchback,2,2016,₹ 4.57 Lakh,Petrol,Comprehensive,57634 Kms,Manual,2016.0,23.84 kmpl,5 Speed,Bangalore
Sedan,2,2016,₹ 49 Lakh,Petrol,Third Party insurance,50000 Kms,Automatic,2016.0,7.81 kmpl,7 Speed,Bangalore
Sedan,1,2015,₹ 5.50 Lakh,Petrol,Third Party insurance,110000 Kms,Manual,2015.0,17.4 kmpl,5 Speed ,Bangalore
Hatchback,1,2018,₹ 5.70 Lakh,Petrol,Comprehensive,23447 Kms,Automatic,2018.0,20.3 kmpl,5 Speed,Bangalore
Hatchback,2,2009,₹ 2.20 Lakh,LPG,Third Party insurance,30000 Kms,Manual,2009.0,13.45 kmpl,5 Speed,Bangalore
Sedan,1,2017,₹ 41.45 Lakh,Petrol,Comprehensive,33000 Kms,Automatic,2017.0,15 kmpl,9 Speed,Bangalore
SUV,2,2014,₹ 8.61 Lakh,Diesel,Third Party,87667 Kms,Manual,2014.0,15.1 kmpl,6 Speed ,Bangalore
Sedan,2,2016,₹ 17.85 Lakh,Diesel,Third Party insurance,40000 Kms,Automatic,2016.0,17.11 kmpl,8 Speed,Bangalore
SUV,2,2014,₹ 8.03 Lakh,Diesel,Comprehensive,79012 Kms,Manual,2014.0,15.1 kmpl,6 Speed,Bangalore
SUV,1,2021,₹ 25.65 Lakh,Diesel,Comprehensive,31344 Kms,Manual,2021.0,17.1 kmpl,6 Speed,Bangalore
Sedan,1,2018,₹ 6.74 Lakh,Petrol,Third Party insurance,50000 Kms,Manual,2018.0,20.14 kmpl,5 Speed,Bangalore
Hatchback,1,2015,₹ 3.49 Lakh,Petrol,Comprehensive,12434 Kms,Manual,2015.0,20.51 kmpl,5 Speed,Bangalore
MUV,2,2019,₹ 10.50 Lakh,Petrol,Third Party insurance,60000 Kms,Manual,2019.0,19.34 kmpl,5 Speed,Bangalore
Sedan,1,2019,₹ 44.25 Lakh,Diesel,Comprehensive,12000 Kms,Automatic,2019.0,12.6 kmpl,9 Speed,Bangalore
Hatchback,2,2015,₹ 4.06 Lakh,Petrol,Comprehensive,40987 Kms,Manual,2015.0,20.51 kmpl,5 Speed,Bangalore
Sedan,1,2020,₹ 49.65 Lakh,Petrol,Zero Dep,18157 Kms,Automatic,2020.0,15.56 kmpl,8-Speed Steptronic,Bangalore
SUV,3,2011,₹ 11 Lakh,Diesel,Third Party insurance,120000 Kms,Manual,2011.0,11.5 kmpl,5 Speed,Bangalore
SUV,2,2020,₹ 11 Lakh,Diesel,Third Party insurance,40000 Kms,Automatic,2020.0,19.87 kmpl,6-Speed,Bangalore
Hatchback,1,2016,₹ 5.94 Lakh,Petrol,Comprehensive,89667 Kms,Manual,2016.0,18.6 kmpl,5 Speed,Bangalore
Hatchback,1,2017,₹ 7.10 Lakh,Diesel,Third Party insurance,120000 Kms,Manual,2017.0,22.54 kmpl,6 Speed,Bangalore
Hatchback,1,2017,₹ 6.92 Lakh,Petrol,Zero Dep,56997 Kms,Manual,2017.0,21.4 kmpl,5 Speed,Bangalore
Sedan,1,2013,₹ 6.50 Lakh,Petrol,Third Party insurance,120000 Kms,Manual,2013.0,16.3 kmpl,6 Speed ,Bangalore
Sedan,1,2015,₹ 20.90 Lakh,Diesel,Third Party insurance,59000 Kms,Automatic,2015.0,18.53 kmpl,7 Speed,Bangalore
Hatchback,1,2021,₹ 4.11 Lakh,Petrol,Zero Dep,18835 Kms,Manual,2021.0,22.05 kmpl,5 Speed,Bangalore
SUV,2,2010,₹ 6.50 Lakh,Diesel,Third Party insurance,120000 Kms,Manual,2010.0,12.05 kmpl,5 Speed,Bangalore
Hatchback,1,2016,₹ 36.75 Lakh,Petrol,Comprehensive,40000 Kms,Automatic,2016.0,17.33 kmpl,7 Speed,Bangalore
Hatchback,1,2019,₹ 6.10 Lakh,Petrol,Comprehensive,60932 Kms,Manual,2019.0,23.84 kmpl,5 Speed,Bangalore
SUV,2,2020,₹ 16.75 Lakh,Petrol,Comprehensive,33539 Kms,Automatic,2020.0,16.5 kmpl,7-Speed DCT,Bangalore
Hatchback,2,2018,₹ 5.30 Lakh,Petrol,Comprehensive,66837 Kms,Manual,2018.0,23.84 kmpl,5 Speed,Bangalore
Sedan,1,2022,₹ 79.90 Lakh,Diesel,Third Party,400 Kms,Automatic,2022.0,,9-Speed,Bangalore
Hatchback,2,2008,₹ 2.50 Lakh,Petrol,Third Party insurance,60000 Kms,Manual,2008.0,19.7 kmpl,5 Speed,Bangalore
Hatchback,1,2019,₹ 7.15 Lakh,Petrol,Third Party insurance,44285 Kms,Manual,2019.0,18.6 kmpl,5 Speed,Bangalore
SUV,2,2014,₹ 35 Lakh,Diesel,Third Party insurance,100000 Kms,Automatic,2014.0,11.3 kmpl,7 Speed,Bangalore
SUV,1,2021,₹ 22.50 Lakh,Diesel,Comprehensive,25000 Kms,Automatic,2021.0,14.08 kmpl,6-Speed,Bangalore
Hatchback,1,2018,₹ 6.25 Lakh,Petrol,Comprehensive,36735 Kms,Manual,2018.0,18.9 kmpl,5 Speed,Bangalore
SUV,1,2015,₹ 26.95 Lakh,Diesel,Comprehensive,79000 Kms,Automatic,2015.0,12.07 kmpl,8 Speed Tiptronic,Bangalore
SUV,2,2010,₹ 6.50 Lakh,Diesel,Third Party insurance,120000 Kms,Manual,2010.0,12.05 kmpl,5 Speed,Bangalore
Hatchback,1,2022,₹ 5.50 Lakh,Petrol,Third Party insurance,10000 Kms,Automatic,2022.0,22 kmpl,5 Speed,Bangalore
SUV,1,2018,₹ 8.25 Lakh,Diesel,Comprehensive,53645 Kms,Manual,2018.0,21.5 kmpl,6 Speed,Bangalore
Hatchback,2,2006,₹ 2.20 Lakh,Petrol,Third Party insurance,100000 Kms,Manual,2006.0,15.3 kmpl,5 Speed,Bangalore
Hatchback,1,2014,₹ 4.28 Lakh,Petrol,Comprehensive,53982 Kms,Automatic,2014.0,26.68 kmpl,5-Speed,Bangalore
Sedan,1,2014,₹ 6.95 Lakh,Diesel,Third Party insurance,110000 Kms,Manual,2014.0,21.14 kmpl,5 Speed,Bangalore
SUV,2,2019,₹ 9.30 Lakh,Petrol,Third Party insurance,37741 Kms,Manual,2019.0,15.9 kmpl,5 Speed,Bangalore
Hatchback,1,2021,₹ 4.55 Lakh,Petrol,Comprehensive,17367 Kms,Manual,2021.0,22.05 kmpl,5 Speed,Bangalore
SUV,1,2017,₹ 11.95 Lakh,Diesel,Comprehensive,94000 Kms,Manual,2017.0,19.67 kmpl,6 Speed,Bangalore
SUV,1,2021,₹ 21.75 Lakh,Diesel,Comprehensive,33700 Kms,Automatic,2021.0,14.6 kmpl,6-Speed,Bangalore
Hatchback,3,2014,₹ 4.42 Lakh,Petrol,Comprehensive,54601 Kms,Manual,2014.0,22.38 kmpl,5-Speed,Bangalore
Hatchback,1,2018,₹ 6.90 Lakh,Diesel,Third Party insurance,110000 Kms,Manual,2018.0,28.4 kmpl,5,Bangalore
Hatchback,2,2017,₹ 5 Lakh,Petrol,Third Party,64000 Kms,Manual,2017.0,23.1 kmpl,5 Speed ,Bangalore
Sedan,1,2016,₹ 33.95 Lakh,Diesel,Comprehensive,40525 Kms,Automatic,2016.0,21.76 kmpl,8 Speed,Bangalore
Sedan,1,2015,₹ 6.50 Lakh,Diesel,Third Party insurance,100000 Kms,Manual,2015.0,26.21 kmpl,5 Speed,Bangalore
Hatchback,2,2016,₹ 5.37 Lakh,Petrol,Comprehensive,44154 Kms,Automatic,2016.0,19 kmpl,5 Speed,Bangalore
MUV,1,2016,₹ 7.50 Lakh,Diesel,Third Party insurance,70000 Kms,Manual,2016.0,19.98 kmpl,6 Speed,Bangalore
Sedan,1,2018,₹ 17.90 Lakh,Petrol,Comprehensive,79000 Kms,Automatic,2018.0,15.1 kmpl,7 Speed,Bangalore
Hatchback,2,2017,₹ 4.68 Lakh,Petrol,Third Party insurance,68039 Kms,Manual,2017.0,23.84 kmpl,5 Speed,Bangalore
Hatchback,2,2014,₹ 4.20 Lakh,Petrol,Third Party insurance,60000 Kms,Manual,2014.0,18.5 kmpl,5 Speed,Bangalore
Hatchback,2,2014,₹ 4.20 Lakh,Petrol,Third Party insurance,60000 Kms,Manual,2014.0,18.5 kmpl,5 Speed,Bangalore
Hatchback,1,2021,₹ 9.20 Lakh,Petrol,Third Party insurance,10000 Kms,Manual,2021.0,20 kmpl,6 Speed IMT,Bangalore
Sedan,1,2013,₹ 5.33 Lakh,Petrol,Third Party,49873 Kms,Manual,2013.0,16.8 kmpl,5 Speed,Bangalore
Hatchback,3,2013,₹ 8.50 Lakh,Petrol,Third Party insurance,90000 Kms,Automatic,2013.0,17.2 kmpl,7 Speed,Bangalore
Sedan,2,2017,₹ 7.51 Lakh,Diesel,Third Party insurance,48960 Kms,Manual,2017.0,21.13 kmpl,5 Speed,Bangalore
Hatchback,2,2014,₹ 3.88 Lakh,Diesel,Third Party insurance,70000 Kms,Manual,2014.0,24 kmpl,5 Speed,Bangalore
Hatchback,2,2013,₹ 4.90 Lakh,Petrol,Comprehensive,68000 Kms,Manual,2013.0,18.5 kmpl,5 Speed,Bangalore
SUV,1,2016,₹ 4.94 Lakh,Diesel,Third Party,23017 Kms,Manual,2016.0,25.32 kmpl,5 Speed,Bangalore
Hatchback,2,2013,₹ 5.25 Lakh,Diesel,Comprehensive,83000 Kms,Manual,2013.0,21.27 kmpl,6 Speed,Bangalore
SUV,2,2016,₹ 28.90 Lakh,Diesel,Comprehensive,92000 Kms,Automatic,2016.0,16.55 kmpl,8 Speed,Bangalore
Hatchback,1,2018,₹ 5.50 Lakh,Petrol,Comprehensive,62139 Kms,Manual,2018.0,20.51 kmpl,5 Speed,Bangalore
Hatchback,1,2013,₹ 3.65 Lakh,LPG,Comprehensive,74000 Kms,Manual,2013.0,19.2 kmpl,5 Speed,Bangalore
Hatchback,2,2016,₹ 4.20 Lakh,Petrol,Comprehensive,26500 Kms,Automatic,2016.0,24.04 kmpl,5 Speed,Bangalore
Sedan,1,2017,₹ 18.95 Lakh,Diesel,Comprehensive,81716 Kms,Automatic,2017.0,27.03 kmpl,8 Speed,Bangalore
Sedan,2,2018,₹ 59.90 Lakh,Diesel,Comprehensive,24000 Kms,Automatic,2018.0,17 kmpl,9 Speed,Bangalore
SUV,1,2022,₹ 10.50 Lakh,Petrol,Third Party insurance,10000 Kms,Automatic,2022.0,17 kmpl,6-speed AutoSHIFT,Bangalore
SUV,1,2021,₹ 20.75 Lakh,Petrol,Comprehensive,18000 Kms,Automatic,2021.0,16.56 kmpl,6-speed CVT,Bangalore
Hatchback,1,2013,₹ 3.94 Lakh,Petrol,Third Party,38197 Kms,Manual,2013.0,19.4 kmpl,5 Speed,Bangalore
Hatchback,2,2017,₹ 7.25 Lakh,Petrol,Comprehensive,23000 Kms,Automatic,2017.0,19.56 kmpl,CVT,Bangalore
Hatchback,1,2013,₹ 2.40 Lakh,Petrol,Third Party insurance,50000 Kms,Manual,2013.0,20.92 kmpl,5 Speed,Bangalore
SUV,1,2022,₹ 8.35 Lakh,Petrol,Third Party insurance,10000 Kms,Automatic,2022.0,19.03 kmpl,5 Speed,Bangalore
Hatchback,1,2019,₹ 6.95 Lakh,Petrol,Third Party insurance,19000 Kms,Manual,2019.0,18.9 kmpl,5 Speed,Bangalore
SUV,1,2020,₹ 17.25 Lakh,Petrol,Comprehensive,14000 Kms,Automatic,2020.0,16.5 kmpl,7-Speed DCT,Bangalore
Hatchback,1,2014,₹ 3.30 Lakh,Petrol,Comprehensive,29268 Kms,Manual,2014.0,21.1 kmpl,5 Speed,Bangalore
Sedan,1,2019,₹ 9.90 Lakh,Petrol,Third Party insurance,20000 Kms,Automatic,2019.0,18.19 kmpl,7 Speed,Bangalore
Sedan,1,2018,₹ 7.50 Lakh,Petrol,Third Party insurance,30000 Kms,Manual,2018.0,17.1 kmpl,6 Speed,Bangalore
Hatchback,1,2018,₹ 7.55 Lakh,Petrol,Third Party insurance,64374 Kms,Automatic,2018.0,19 kmpl,5 Speed,Bangalore
SUV,1,2021,₹ 17.50 Lakh,Diesel,Comprehensive,30000 Kms,Manual,2021.0,17.41 kmpl,6 Speed,Bangalore
SUV,1,2022,₹ 20.83 Lakh,Petrol,Comprehensive,7100 Kms,Automatic,2022.0,14.2 kmpl,6-speed,Bangalore
Hatchback,1,2010,₹ 2.71 Lakh,Petrol,Third Party insurance,43679 Kms,Manual,2010.0,19.81 kmpl,5 Speed,Bangalore
SUV,1,2018,₹ 12.80 Lakh,Petrol,Third Party,40000 Kms,Automatic,2018.0,14.8 kmpl,6 Speed,Bangalore
Hatchback,1,2012,₹ 4.36 Lakh,Diesel,Comprehensive,40562 Kms,Manual,2012.0,22.54 kmpl,6 Speed,Bangalore
SUV,2,2021,₹ 16.75 Lakh,Petrol,Third Party insurance,26500 Kms,Automatic,2021.0,,7-speed DCT,Bangalore
SUV,1,2019,₹ 12.50 Lakh,Petrol,Third Party insurance,20000 Kms,Automatic,2019.0,18.15 kmpl,7-Speed,Bangalore
SUV,1,2016,₹ 13.50 Lakh,Diesel,Third Party insurance,58600 Kms,Automatic,2016.0,16 kmpl,6 Speed,Bangalore
SUV,1,2019,₹ 12.50 Lakh,Petrol,Comprehensive,20000 Kms,Automatic,2019.0,18.15 kmpl,7-Speed,Bangalore
SUV,1,2020,₹ 22.25 Lakh,Petrol,2,42050 Kms,Automatic,2020.0,18.4 kmpl,7 Speed DSG,Bangalore
Hatchback,1,2015,₹ 4.75 Lakh,Petrol,Third Party insurance,65017 Kms,Automatic,2015.0,23.1 kmpl,5 Speed ,Bangalore
Sedan,2,2008,₹ 6 Lakh,Diesel,Third Party insurance,80000 Kms,Automatic,2008.0,13.2 kmpl,6 Speed,Bangalore
SUV,1,2021,₹ 24.50 Lakh,Petrol,Third Party insurance,30000 Kms,Automatic,2021.0,14.1 kmpl,7 Speed DCT,Bangalore
SUV,1,2020,₹ 16.25 Lakh,Petrol,Third Party insurance,20000 Kms,Automatic,2020.0,16.5 kmpl,7-Speed DCT,Bangalore
Sedan,1,2014,₹ 16.50 Lakh,Diesel,Third Party insurance,36349 Kms,Automatic,2014.0,17.2 kmpl,6 Speed,Bangalore
Hatchback,3,2009,₹ 2.49 Lakh,Petrol,Third Party insurance,80000 Kms,Manual,2009.0,20.36 kmpl,5 Speed,Bangalore
SUV,2,2014,₹ 6.30 Lakh,Petrol,Third Party,83394 Kms,Manual,2014.0,13.24 kmpl,5 Speed,Bangalore
SUV,2,2016,₹ 25.99 Lakh,Diesel,Third Party insurance,30000 Kms,Automatic,2016.0,14.16 kmpl,7 Speed,Bangalore
Hatchback,3,2009,₹ 2.49 Lakh,Petrol,Third Party insurance,80000 Kms,Manual,2009.0,20.36 kmpl,5 Speed,Bangalore
Hatchback,1,2017,₹ 3.85 Lakh,Petrol,Comprehensive,52204 Kms,Manual,2017.0,24.39 kmpl,5 Speed,Bangalore
Hatchback,3,2012,₹ 3 Lakh,Petrol,Third Party insurance,110000 Kms,Manual,2012.0,17 kmpl,5 Speed,Bangalore
SUV,1,2017,₹ 29.75 Lakh,Diesel,Comprehensive,89000 Kms,Automatic,2017.0,10.91 kmpl,6 Speed,Bangalore
Hatchback,2,2014,₹ 2.76 Lakh,Petrol,Comprehensive,29813 Kms,Manual,2014.0,22.05 kmpl,5 Speed,Bangalore
Hatchback,1,2018,₹ 5 Lakh,Petrol,Comprehensive,30000 Kms,Manual,2018.0,18.16 kmpl,5 Speed,Bangalore
Hatchback,1,2020,₹ 7.30 Lakh,Petrol,Comprehensive,13345 Kms,Automatic,2020.0,20.89 kmpl,5 Speed,Bangalore
SUV,1,2022,₹ 22.45 Lakh,Diesel,Comprehensive,17100 Kms,Automatic,2022.0,18.1 kmpl,6-speed,Bangalore
Hatchback,1,2014,₹ 3.99 Lakh,Petrol,Comprehensive,75000 Kms,Manual,2014.0,18.9 kmpl,5 Speed,Bangalore
Hatchback,2,2011,₹ 3.12 Lakh,Petrol,Comprehensive,75523 Kms,Manual,2011.0,20.36 kmpl,5 Speed,Bangalore
SUV,1,2015,₹ 12.75 Lakh,Diesel,Third Party insurance,47000 Kms,Manual,2015.0,16 kmpl,6 Speed,Bangalore
SUV,1,2022,₹ 19.90 Lakh,Diesel,Third Party insurance,36500 Kms,Manual,2022.0,16.35 kmpl,6-Speed,Bangalore
MUV,1,2020,₹ 7.19 Lakh,Petrol,Third Party insurance,28253 Kms,Manual,2020.0,20 kmpl,5 Speed,Bangalore
SUV,1,2016,₹ 12.60 Lakh,Diesel,Comprehensive,50000 Kms,Manual,2016.0,19.67 kmpl,6 Speed,Bangalore
Hatchback,2,2010,₹ 3 Lakh,Petrol,Third Party insurance,90000 Kms,Manual,2010.0,20.36 kmpl,5 Speed,Bangalore
SUV,2,2016,₹ 39.81 Lakh,Diesel,Comprehensive,70000 Kms,Automatic,2016.0,15.97 kmpl,8 Speed,Bangalore
Hatchback,1,2016,₹ 6.27 Lakh,Petrol,Comprehensive,52571 Kms,Manual,2016.0,18.6 kmpl,5 Speed,Bangalore
Sedan,2,2010,₹ 13 Lakh,Diesel,Third Party insurance,70000 Kms,Automatic,2010.0,16.07 kmpl,6 Speed,Bangalore
Sedan,1,2015,₹ 6.72 Lakh,Petrol,Comprehensive,61993 Kms,Manual,2015.0,17.4 kmpl,5 Speed ,Bangalore
SUV,1,2017,₹ 18.25 Lakh,Diesel,Third Party insurance,57000 Kms,Automatic,2017.0,16.38 kmpl,6 Speed,Bangalore
SUV,2,2021,₹ 35 Lakh,Diesel,Comprehensive,80000 Kms,Manual,2021.0,14.24 kmpl,6 Speed,Bangalore
Hatchback,1,2013,₹ 4.40 Lakh,Petrol,Comprehensive,36359 Kms,Manual,2013.0,18.5 kmpl,5 Speed,Bangalore
SUV,2,2019,₹ 14.60 Lakh,Diesel,Comprehensive,70000 Kms,Manual,2019.0,17 kmpl,6,Bangalore
SUV,1,2022,₹ 20.41 Lakh,Petrol,Comprehensive,7500 Kms,Automatic,2022.0,,8-Speed,Bangalore
Sedan,1,2017,₹ 10.33 Lakh,Petrol,Comprehensive,30301 Kms,Automatic,2017.0,17 kmpl,6 Speed,Bangalore
Hatchback,1,2010,₹ 2.75 Lakh,Petrol,Third Party insurance,66000 Kms,Manual,2010.0,20.36 kmpl,5 Speed,Bangalore
Hatchback,1,2017,₹ 6.76 Lakh,Petrol,Third Party insurance,56010 Kms,Manual,2017.0,18.6 kmpl,5 Speed,Bangalore
SUV,1,2017,₹ 42.90 Lakh,Diesel,Third Party insurance,47000 Kms,Automatic,2017.0,17.9 kmpl,9 Speed,Bangalore
SUV,2,2014,₹ 6.50 Lakh,Diesel,Comprehensive,60000 Kms,Manual,2014.0,19.01 kmpl,6 Speed,Bangalore
Hatchback,1,2014,₹ 4.44 Lakh,Diesel,Comprehensive,83829 Kms,Manual,2014.0,25.2 kmpl,5 Speed,Bangalore
Hatchback,1,2020,₹ 5.10 Lakh,Petrol,Third Party insurance,10000 Kms,Automatic,2020.0,22 kmpl,5 Speed,Bangalore
SUV,2,2016,₹ 9.25 Lakh,Diesel,Third Party insurance,35000 Kms,Automatic,2016.0,19.6 kmpl,6 Speed,Bangalore
Sedan,2,2019,₹ 10.24 Lakh,Petrol,Comprehensive,51116 Kms,Automatic,2019.0,18 kmpl,CVT,Bangalore
Sedan,3,2016,₹ 5 Lakh,Diesel,Comprehensive,80000 Kms,Manual,2016.0,21.14 kmpl,5-speed,Bangalore
Hatchback,2,2017,₹ 9.95 Lakh,Petrol,Third Party insurance,40000 Kms,Automatic,2017.0,17.21 kmpl,7 Speed,Bangalore
SUV,2,2012,₹ 9.35 Lakh,Petrol,Comprehensive,85565 Kms,Automatic,2012.0,11.1 kmpl,5 Speed,Bangalore
SUV,1,2018,₹ 8.34 Lakh,Petrol,Comprehensive,36916 Kms,Manual,2018.0,17 kmpl,5 Speed,Bangalore
Hatchback,1,2015,₹ 5.60 Lakh,Diesel,Third Party insurance,90000 Kms,Manual,2015.0,20.14 kmpl,5 Speed,Bangalore
Hatchback,1,2012,₹ 4.54 Lakh,Petrol,Comprehensive,112795 Kms,Manual,2012.0,22.38 kmpl,5-Speed,Bangalore
Sedan,1,2021,₹ 36.90 Lakh,Petrol,Third Party insurance,11000 Kms,Automatic,2021.0,,7-Speed DCT,Bangalore
MUV,2,2014,₹ 11 Lakh,Petrol,Comprehensive,120000 Kms,Manual,2014.0,11.4 kmpl,5 Speed,Bangalore
Hatchback,2,2016,₹ 4.62 Lakh,Petrol,Third Party,36685 Kms,Manual,2016.0,19.4 kmpl,5 Speed,Bangalore
SUV,2,2012,₹ 9 Lakh,Diesel,Comprehensive,120000 Kms,Automatic,2012.0,11.72 kmpl,6 speed ,Bangalore
Sedan,1,2022,₹ 79 Lakh,Petrol,Comprehensive,4000 Kms,Automatic,2022.0,13.32 kmpl,8-Speed Steptronic Sport Automatic Transmission,Bangalore
Hatchback,2,2019,₹ 8.43 Lakh,Petrol,Comprehensive,32184 Kms,Automatic,2019.0,21.4 kmpl,CVT,Bangalore
Hatchback,1,2018,₹ 7.99 Lakh,Petrol,Third Party insurance,32279 Kms,Manual,2018.0,21.1 kmpl,5 Speed,Bangalore
Hatchback,1,2015,₹ 5.76 Lakh,Petrol,Third Party,59698 Kms,Manual,2015.0,18.6 kmpl,5 Speed,Bangalore
SUV,1,2018,₹ 9.49 Lakh,Diesel,Comprehensive,46071 Kms,Manual,2018.0,20.37 kmpl,6 Speed,Bangalore
SUV,1,2017,₹ 7.95 Lakh,Diesel,Third Party,90000 Kms,Manual,2017.0,24.3 kmpl,5 Speed,Bangalore
SUV,1,2019,₹ 10.85 Lakh,Petrol,Comprehensive,9554 Kms,Manual,2019.0,18.27 kmpl,6-Speed,Bangalore
SUV,1,2022,₹ 25.90 Lakh,Petrol,Comprehensive,14000 Kms,Automatic,2022.0,14.1 kmpl,7 Speed DCT,Bangalore
SUV,2,2013,₹ 5.16 Lakh,Diesel,Third Party insurance,74499 Kms,Manual,2013.0,20.45 kmpl,5 speed,Bangalore
SUV,2,2017,₹ 7.77 Lakh,Petrol,Comprehensive,56211 Kms,Automatic,2017.0,14.8 kmpl,6 Speed,Bangalore
Hatchback,1,2019,₹ 7.53 Lakh,Petrol,Third Party insurance,9001 Kms,Manual,2019.0,18.2 kmpl,5 Speed,Bangalore
SUV,2,2017,₹ 12.26 Lakh,Diesel,Comprehensive,65457 Kms,Automatic,2017.0,16 kmpl,6 Speed,Bangalore
Hatchback,1,2017,₹ 7.25 Lakh,Petrol,Comprehensive,23682 Kms,Manual,2017.0,18.7 kmpl,5 Speed,Bangalore
Sedan,1,2020,₹ 11.50 Lakh,Diesel,Third Party insurance,50000 Kms,Manual,2020.0,22 kmpl,6 Speed,Bangalore
Hatchback,2,2015,₹ 6.29 Lakh,Diesel,Comprehensive,134557 Kms,Manual,2015.0,25.2 kmpl,5 Speed,Bangalore
Sedan,2,2013,₹ 4.47 Lakh,Petrol,Comprehensive,96567 Kms,Manual,2013.0,22.41 kmpl,5 Speed,Bangalore
Hatchback,3,2015,₹ 4 Lakh,Petrol,Comprehensive,120000 Kms,Manual,2015.0,23.1 kmpl,5 Speed ,Bangalore
MUV,2,2014,₹ 7.86 Lakh,Diesel,Comprehensive,83007 Kms,Manual,2014.0,20.77 kmpl,5 Speed ,Bangalore
Hatchback,1,2018,₹ 7.45 Lakh,Petrol,Third Party insurance,34000 Kms,Manual,2018.0,18.7 kmpl,5 Speed,Bangalore
Hatchback,1,2014,₹ 4.90 Lakh,Petrol,Third Party insurance,81634 Kms,Automatic,2014.0,18.9 kmpl,4 Speed,Bangalore
Sedan,2,2017,₹ 9.42 Lakh,Petrol,Third Party insurance,57284 Kms,Automatic,2017.0,18 kmpl,CVT,Bangalore
SUV,2,2016,₹ 6.75 Lakh,Petrol,Comprehensive,70000 Kms,Automatic,2016.0,15.63 kmpl,6 Speed,Bangalore
Hatchback,2,2013,₹ 3.30 Lakh,Petrol,Third Party insurance,70000 Kms,Manual,2013.0,19.4 kmpl,5 Speed,Bangalore
Sedan,2,2018,₹ 8.75 Lakh,Petrol,Third Party insurance,46429 Kms,Automatic,2018.0,17.8 kmpl,7 Speed CVT,Bangalore
Hatchback,1,2017,₹ 8.69 Lakh,Petrol,Third Party insurance,17624 Kms,Manual,2017.0,21.4 kmpl,5 Speed,Bangalore
