bt,ownerNo,modelYear,price,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City
SUV,1,2021,₹ 55.75 Lakh,Diesel,Comprehensive,33000 Kms,Automatic,2016.0,,9 Speed,Delhi
SUV,2,2019,₹ 28.90 Lakh,Diesel,Third Party insurance,59605 Kms,Automatic,2019.0,10.91 kmpl,6 Speed,Delhi
Hatchback,1,2019,₹ 3.97 Lakh,Petrol,Third Party insurance,2997 Kms,Manual,2023.0,23.01 kmpl,5 Speed,Delhi
Hatchback,1,2021,₹ 4.55 Lakh,Petrol,Third Party,9606 Kms,Manual,2019.0,21.74 kmpl,5 Speed,Delhi
Sedan,1,2015,₹ 38.50 Lakh,Diesel,Comprehensive,75000 Kms,Automatic,2023.0,13.5 kmpl,7 Speed,Delhi
Sedan,2,2020,₹ 7.13 Lakh,Petrol,Zero Dep,41898 Kms,Automatic,2020.0,19 kmpl,CVT,Delhi
Hatchback,1,2021,₹ 7.37 Lakh,Petrol,Third Party insurance,23159 Kms,Manual,2018.0,21.01 kmpl,5-Speed,Delhi
SUV,1,2016,₹ 5.40 Lakh,Petrol,Comprehensive,53488 Kms,Manual,2017.0,15.85 kmpl,5 Speed,Delhi
MUV,1,2019,₹ 17.49 Lakh,Diesel,Third Party insurance,29000 Kms,Manual,2016.0,13.68 kmpl,5 Speed,Delhi
SUV,1,2023,₹ 22 Lakh,Petrol,Third Party insurance,6000 Kms,Automatic,2022.0,12.34 kmpl,6-speed CVT,Delhi
Sedan,1,2019,₹ 6.27 Lakh,Petrol,Third Party insurance,68192 Kms,Manual,2020.0,21.21 kmpl,5 Speed,Delhi
SUV,1,2023,₹ 15.65 Lakh,Petrol,Comprehensive,600 Kms,Manual,2014.0,16.8 kmpl,6-Speed,Delhi
Sedan,1,2020,₹ 46.25 Lakh,Petrol,Comprehensive,13000 Kms,Automatic,2015.0,10.8 kmpl,8 Speed,Delhi
